All Cities,,,,,,
,,,,,,
"Effective April 1, 2014",,,,,,
"Please Note:  Some communities located within a county or a city may not be listed.  If you are in doubt about the correct rate or if you cannot find a community, please call our toll-free number 1-800-400-7115 (TTY:711) or call the local Board of Equalization (BOE) office near you for assistance. ",,,,,,
,,,,,,
* indicates incorporated city or incorporated town,,,,,,
,,,,,,
City,,County,,,,
Acampo,8.000%,San Joaquin,,,,
Acton,9.000%,Los Angeles,,,,
Adelaida,7.500%,San Luis Obispo,,,,
Adelanto*,8.000%,San Bernardino,,,,
Adin,7.500%,Modoc,,,,
Agoura,9.000%,Los Angeles,,,,
Agoura Hills*,9.000%,Los Angeles,,,,
Agua Caliente,8.250%,Sonoma,,,,
Agua Caliente Springs,8.000%,San Diego,,,,
Agua Dulce,9.000%,Los Angeles,,,,
Aguanga,8.000%,Riverside,,,,
Ahwahnee,8.000%,Madera,,,,
Al Tahoe,7.500%,El Dorado,,,,
Alameda*,9.000%,Alameda,,,,
Alamo,8.500%,Contra Costa,,,,
Albany*,9.500%,Alameda,,,,
Alberhill (Lake Elsinore*),8.000%,Riverside,,,,
Albion,7.625%,Mendocino,,,,
Alderpoint,7.500%,Humboldt,,,,
Alhambra*,9.000%,Los Angeles,,,,
Aliso Viejo*,8.000%,Orange,,,,
Alleghany,7.500%,Sierra,,,,
Almaden Valley,8.750%,Santa Clara,,,,
Almanor,7.500%,Plumas,,,,
Almondale,9.000%,Los Angeles,,,,
Alondra,9.000%,Los Angeles,,,,
Alpaugh,8.000%,Tulare,,,,
Alpine,8.000%,San Diego,,,,
Alta,7.500%,Placer,,,,
Alta Loma (Rancho Cucamonga*),8.000%,San Bernardino,,,,
Altadena,9.000%,Los Angeles,,,,
Altaville,7.500%,Calaveras,,,,
Alton,7.500%,Humboldt,,,,
Alturas*,7.500%,Modoc,,,,
Alviso (San Jose*),8.750%,Santa Clara,,,,
Amador City*,8.000%,Amador,,,,
Amargosa (Death Valley),8.000%,Inyo,,,,
Amboy,8.000%,San Bernardino,,,,
American Canyon*,8.000%,Napa,,,,
Anaheim*,8.000%,Orange,,,,
Anderson*,7.500%,Shasta,,,,
Angels Camp*,7.500%,Calaveras,,,,
Angelus Oaks,8.000%,San Bernardino,,,,
Angwin,8.000%,Napa,,,,
Annapolis,8.250%,Sonoma,,,,
Antelope,8.000%,Sacramento,,,,
Antelope Acres,9.000%,Los Angeles,,,,
Antioch*,9.000%,Contra Costa,,,,
Anza,8.000%,Riverside,,,,
Apple Valley*,8.000%,San Bernardino,,,,
Applegate,7.500%,Placer,,,,
Aptos,8.250%,Santa Cruz,,,,
Arbuckle,7.500%,Colusa,,,,
Arcadia*,9.000%,Los Angeles,,,,
Arcata*,8.250%,Humboldt,,,,
Argus,8.000%,San Bernardino,,,,
Arleta (Los Angeles*),9.000%,Los Angeles,,,,
Arlington (Riverside*),8.000%,Riverside,,,,
Armona,7.500%,Kings,,,,
Army Terminal,9.000%,Alameda,,,,
Arnold,7.500%,Calaveras,,,,
Aromas,7.500%,Monterey,,,,
Arrowbear Lake,8.000%,San Bernardino,,,,
Arrowhead Highlands,8.000%,San Bernardino,,,,
Arroyo Grande*,8.000%,San Luis Obispo,,,,
Artesia*,9.000%,Los Angeles,,,,
Artois,7.500%,Glenn,,,,
Arvin*,8.500%,Kern,,,,
Ashland,9.000%,Alameda,,,,
Asti,8.250%,Sonoma,,,,
Atascadero*,7.500%,San Luis Obispo,,,,
Athens,9.000%,Los Angeles,,,,
Atherton*,9.000%,San Mateo,,,,
Atwater*,8.000%,Merced,,,,
Atwood,8.000%,Orange,,,,
Auberry,8.225%,Fresno,,,,
Auburn*,7.500%,Placer,,,,
Avalon*,9.500%,Los Angeles,,,,
Avenal*,7.500%,Kings,,,,
Avery,7.500%,Calaveras,,,,
Avila Beach,7.500%,San Luis Obispo,,,,
Azusa*,9.000%,Los Angeles,,,,
Badger,8.000%,Tulare,,,,
Bailey,9.000%,Los Angeles,,,,
Baker,8.000%,San Bernardino,,,,
Bakersfield*,7.500%,Kern,,,,
Balboa (Newport Beach*),8.000%,Orange,,,,
Balboa Island (Newport Beach*),8.000%,Orange,,,,
Balboa Park (San Diego*),8.000%,San Diego,,,,
Baldwin Park*,9.000%,Los Angeles,,,,
Ballard,8.000%,Santa Barbara,,,,
Ballico,7.500%,Merced,,,,
Ballroad,8.000%,Orange,,,,
Bangor,7.500%,Butte,,,,
Banning*,8.000%,Riverside,,,,
Banta,8.000%,San Joaquin,,,,
Bard,8.000%,Imperial,,,,
Barrington,9.000%,Los Angeles,,,,
Barstow*,8.000%,San Bernardino,,,,
Bartlett,8.000%,Inyo,,,,
Barton,8.225%,Fresno,,,,
Base Line,8.000%,San Bernardino,,,,
Bass Lake,8.000%,Madera,,,,
Bassett,9.000%,Los Angeles,,,,
Baxter,7.500%,Placer,,,,
Bay Point,8.500%,Contra Costa,,,,
Bayside,7.500%,Humboldt,,,,
Baywood Park,7.500%,San Luis Obispo,,,,
Beale A.F.B.,7.500%,Yuba,,,,
Bear River Lake,8.000%,Amador,,,,
Bear Valley,7.500%,Alpine,,,,
Bear Valley,8.000%,Mariposa,,,,
Beaumont*,8.000%,Riverside,,,,
Beckwourth,7.500%,Plumas,,,,
Bel Air Estates,9.000%,Los Angeles,,,,
Belden,7.500%,Plumas,,,,
Bell Gardens*,9.000%,Los Angeles,,,,
Bell*,9.000%,Los Angeles,,,,
Bella Vista,7.500%,Shasta,,,,
Bellflower*,9.000%,Los Angeles,,,,
Belmont*,9.000%,San Mateo,,,,
Belvedere*,8.500%,Marin,,,,
Ben Lomond,8.250%,Santa Cruz,,,,
Benicia*,7.625%,Solano,,,,
Benton,7.500%,Mono,,,,
Berkeley*,9.000%,Alameda,,,,
Bermuda Dunes,8.000%,Riverside,,,,
Berry Creek,7.500%,Butte,,,,
Bethel Island,8.500%,Contra Costa,,,,
Betteravia,8.000%,Santa Barbara,,,,
Beverly Hills*,9.000%,Los Angeles,,,,
Bieber,7.500%,Lassen,,,,
Big Bar,7.500%,Trinity,,,,
Big Basin,8.250%,Santa Cruz,,,,
Big Bear City,8.000%,San Bernardino,,,,
Big Bear Lake*,8.000%,San Bernardino,,,,
Big Bend,7.500%,Shasta,,,,
Big Creek,8.225%,Fresno,,,,
Big Oak Flat,7.500%,Tuolumne,,,,
Big Pine,8.000%,Inyo,,,,
Big River,8.000%,San Bernardino,,,,
Big Sur,7.500%,Monterey,,,,
Biggs*,7.500%,Butte,,,,
Bijou,7.500%,El Dorado,,,,
Biola,8.225%,Fresno,,,,
Biola College (La Mirada*),9.000%,Los Angeles,,,,
Birds Landing,7.625%,Solano,,,,
Bishop*,8.000%,Inyo,,,,
Black Hawk,8.500%,Contra Costa,,,,
Blairsden,7.500%,Plumas,,,,
Blocksburg,7.500%,Humboldt,,,,
Bloomington,8.000%,San Bernardino,,,,
Blossom Hill,8.750%,Santa Clara,,,,
Blossom Valley,8.750%,Santa Clara,,,,
Blue Jay,8.000%,San Bernardino,,,,
Blue Lake*,7.500%,Humboldt,,,,
Blythe*,8.000%,Riverside,,,,
Bodega,8.250%,Sonoma,,,,
Bodega Bay,8.250%,Sonoma,,,,
Bodfish,7.500%,Kern,,,,
Bolinas,8.500%,Marin,,,,
Bolsa,8.000%,Orange,,,,
Bombay Beach,8.000%,Imperial,,,,
Bonita,8.000%,San Diego,,,,
Bonny Doon,8.250%,Santa Cruz,,,,
Bonsall,8.000%,San Diego,,,,
Boonville,7.625%,Mendocino,,,,
Boron,7.500%,Kern,,,,
Borrego Springs,8.000%,San Diego,,,,
Bostonia,8.000%,San Diego,,,,
Boulder Creek,8.250%,Santa Cruz,,,,
Boulevard,8.000%,San Diego,,,,
Bouquet Canyon (Santa Clarita*),9.000%,Los Angeles,,,,
Bowman,7.500%,Placer,,,,
